212,Neúplatní,https://www.csfd.cz/film/2339-neuplatni/,1987
213,Muž z Acapulca,https://www.csfd.cz/film/32430-muz-z-acapulca/,1973
214,Velký flám,https://www.csfd.cz/film/32115-velky-flam/,1966
215,My Fair Lady,https://www.csfd.cz/film/1837-my-fair-lady/,1964
216,Spider-Man: Paralelní světy,https://www.csfd.cz/film/54763-spider-man-paralelni-svety/,2018
217,Zámek v oblacích,https://www.csfd.cz/film/91936-zamek-v-oblacich/,2004
218,Zlo mezi námi,https://www.csfd.cz/film/142019-zlo-mezi-nami/,2003
219,Kramerová versus Kramer,https://www.csfd.cz/film/646-kramerova-versus-kramer/,1979
220,JFK,https://www.csfd.cz/film/8755-jfk/,1991
221,Bídníci,https://www.csfd.cz/film/36567-bidnici/,1958
222,Vlkochodci,https://www.csfd.cz/film/812957-vlkochodci/,2020
223,Sowon,https://www.csfd.cz/film/352865-sowon/,2013
224,Lepší už to nebude,https://www.csfd.cz/film/944-lepsi-uz-to-nebude/,1997
225,Joker,https://www.csfd.cz/film/628813-joker/,2019
226,Návrat do budoucnosti III,https://www.csfd.cz/film/10130-navrat-do-budoucnosti-iii/,1990
227,Philadelphia,https://www.csfd.cz/film/2355-philadelphia/,1993
228,Páni kluci,https://www.csfd.cz/film/7275-pani-kluci/,1975
229,Whiplash,https://www.csfd.cz/film/358992-whiplash/,2014
230,Ben Hur,https://www.csfd.cz/film/9876-ben-hur/,1959
231,Atentát,https://www.csfd.cz/film/8301-atentat/,1964
232,Jean od Floretty,https://www.csfd.cz/film/12058-jean-od-floretty/,1986
233,Ten den přijde,https://www.csfd.cz/film/433329-ten-den-prijde/,2016
234,Titanic,https://www.csfd.cz/film/1250-titanic/,1997
235,Příšerky s.r.o.,https://www.csfd.cz/film/11124-priserky-s-r-o/,2001
236,Adéla ještě nevečeřela,https://www.csfd.cz/film/5981-adela-jeste-nevecerela/,1977
237,Fimfárum Jana Wericha,https://www.csfd.cz/film/49569-fimfarum-jana-wericha/,2002
238,Happy end,https://www.csfd.cz/film/5999-happy-end/,1967
239,Dva muži ve městě,https://www.csfd.cz/film/12036-dva-muzi-ve-meste/,1973
240,Norimberský proces,https://www.csfd.cz/film/5307-norimbersky-proces/,1961
241,Svědek obžaloby,https://www.csfd.cz/film/9797-svedek-obzaloby/,1957
242,Dangal,https://www.csfd.cz/film/68305-dangal/,2016
243,VALL-I,https://www.csfd.cz/film/231646-vall-i/,2008
244,Musíme si pomáhat,https://www.csfd.cz/film/4567-musime-si-pomahat/,2000
245,Kulový blesk,https://www.csfd.cz/film/8542-kulovy-blesk/,1978
246,Poslední Mohykán,https://www.csfd.cz/film/6449-posledni-mohykan/,1992
247,Co žere Gilberta Grapea,https://www.csfd.cz/film/4099-co-zere-gilberta-grapea/,1993
248,Asterix v Británii,https://www.csfd.cz/film/102865-asterix-v-britanii/,1986
249,Mach a Šebestová k tabuli!,https://www.csfd.cz/film/108769-mach-a-sebestova-k-tabuli/,1985
250,Lady a Tramp,https://www.csfd.cz/film/33891-lady-a-tramp/,1955
251,O myších a lidech,https://www.csfd.cz/film/14559-o-mysich-a-lidech/,1992
252,Malý velký muž,https://www.csfd.cz/film/7197-maly-velky-muz/,1970
253,Na sever Severozápadní linkou,https://www.csfd.cz/film/4379-na-sever-severozapadni-linkou/,1959
254,Metropolis,https://www.csfd.cz/film/5612-metropolis/,1927
255,Pahorek,https://www.csfd.cz/film/6200-pahorek/,1965
256,Payback: Straight Up,https://www.csfd.cz/film/230120-payback-straight-up/,2006
257,Světla velkoměsta,https://www.csfd.cz/film/1461-svetla-velkomesta/,1931
258,X-Men: První třída,https://www.csfd.cz/film/251188-x-men-prvni-trida/,2011
259,Volný pád,https://www.csfd.cz/film/8221-volny-pad/,1993
260,Crash,https://www.csfd.cz/film/134171-crash/,2004
261,Vinnetou,https://www.csfd.cz/film/33362-vinnetou/,1963
262,Skleněné peklo,https://www.csfd.cz/film/23-sklenene-peklo/,1974
